[0725/203555:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/122434:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/150545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/151922:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/153150:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/153415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/154511:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/154757:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/154909:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/173114:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0726/173247:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/131510:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/131856:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/132021:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/132126:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/132523:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/132618:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/132713:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/173525:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0727/173707:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0728/130033:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0728/212131:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0728/212237:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0728/212413:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0728/212554:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0728/212726:ERROR:file_io.cc(30)] read: expected 4, observed 0
